Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,id
2006-03-24,Falcon 1,20.0,LEO,Kwajalein Atoll,None - None,1,False,False,False,,,0,Merlin1A,167.7431292,9.0477206,5eb87cd9ffd86e000604b32a
2007-03-21,Falcon 1,,LEO,Kwajalein Atoll,None - None,1,False,False,False,,,0,Merlin2A,167.7431292,9.0477206,5eb87cdaffd86e000604b32b
2008-08-03,Falcon 1,,LEO,Kwajalein Atoll,None - None,1,False,False,False,,,0,Merlin1C,167.7431292,9.0477206,5eb87cdbffd86e000604b32c
2008-09-28,Falcon 1,165.0,LEO,Kwajalein Atoll,None - None,1,False,False,False,,,0,Merlin2C,167.7431292,9.0477206,5eb87cdbffd86e000604b32d
2009-07-13,Falcon 1,200.0,LEO,Kwajalein Atoll,None - None,1,False,False,False,,,0,Merlin3C,167.7431292,9.0477206,5eb87cdcffd86e000604b32e
2010-06-04,Falcon 9,,LEO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B0003,-80.577366,28.5618571,5eb87cddffd86e000604b32f
2010-12-08,Falcon 9,,LEO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B0004,-80.577366,28.5618571,5eb87cdeffd86e000604b330
2012-05-22,Falcon 9,525.0,LEO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B0005,-80.577366,28.5618571,5eb87cdfffd86e000604b331
2012-10-08,Falcon 9,800.0,LEO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B0006,-80.577366,28.5618571,5eb87ce0ffd86e000604b332
2013-03-01,Falcon 9,677.0,ISS,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B0007,-80.577366,28.5618571,5eb87ce1ffd86e000604b333
2013-09-29,Falcon 9,500.0,PO,VAFB SLC 4E,False - Ocean,1,False,False,False,,1.0,0,B1003,-120.610829,34.632093,5eb87ce1ffd86e000604b334
2013-12-03,Falcon 9,3170.0,GTO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B1004,-80.577366,28.5618571,5eb87ce2ffd86e000604b335
2014-01-06,Falcon 9,3325.0,GTO,CCSFS SLC 40,None - None,1,False,False,False,,1.0,0,B1005,-80.577366,28.5618571,5eb87ce3ffd86e000604b336
